Year,Month Reported,Category,Day of Week,Time of Day,Location,Bike Brand,Lock,Registered?,Property Value
10,October,theft bicycle,Monday,1600-2400,Campbell Hall,Fat Cycles,U-Lock,No,420
10,February,theft bicycle,Saturday,0800-1600,Lot 32,Unknown,Not Locked,No,50
10,March,theft bicycle,Saturday,1600-2400,Student Resource Bldg.,Ocean Pacific,U-Lock,No,155
10,October,theft bicycle,Saturday,2400-0800,Storke Family Hsng,Specialized,U-Lock,No,170
10,October,theft bicycle,Saturday,2400-0800,Santa Catalina,Sovereign,Cable Lock,Yes,175
10,January,theft bicycle,Saturday,1600-2400,"Rincon House, Manzanita",VBS,U-Lock,Yes,176
10,February,theft bicycle,Saturday,0800-1600,"Pendola, Los Robles Quad",Unknown,U-Lock,No,215
10,January,theft bicycle,Saturday,1600-2400,Manzanita Village,Schwinn,Not Locked,Yes,225
10,April,theft bicycle,Saturday,1600-2400,Santa Catalina,Unknown,U-Lock,No,240
10,November,theft bicycle,Saturday,1600-2400,Event Center,Gary Fisher,Not listed,Yes,500
10,May,theft bicycle,Sunday,Unknown,Santa Catalina,Raleigh,Cable Lock,No,120
10,December,theft bicycle,Sunday,2400-0800,Storke Family Housing,Austro-Daimler,Not Locked,No,150
10,April,theft bicycle,Sunday,2400-0800,Tecolote,Sekai,Not Locked,Yes,150
10,January,theft bicycle,Sunday,1600-2400,Robertson Gym,Dynoglide,Cable Lock,Yes,170
10,October,theft bicycle,Sunday,0800-1600,Rob Gym,Urban,U-Lock,Yes,210
10,May,theft bicycle,Sunday,0800-1600,San Rafael,Schwinn,Cable Lock,Yes,240
10,October,theft bicycle,Sunday,1600-2400,Student Resources Bldg.,Electra,U-Lock,Yes,300
10,March,theft bicycle,Sunday,2400-0800,Arts,Tommanso Tiemdo,U-Lock,No,410
10,November,theft bicycle,Sunday,2400-0800,Santa Cruz,Trek,U-Lock,Yes,550
10,May,theft bicycle,Sunday,2400-0800,Music,DiamondBack,Cable Lock,Yes,600
10,November,theft bicycle,Sunday,1600-2400,Davidson Library,Specialized,Combo,No,1220
10,October,theft bicycle,Thursday,2400-0800,San Rafael,Unknown,Not Locked,Yes,20
10,February,theft bicycle,Thursday,1600-2400,PSB North,Motiv,Not Locked,Yes,50
10,June,theft bicycle,Thursday,0800-1600,Broida,DiamondBack,U-Lock,No,75
10,March,theft bicycle,Thursday,Unknown,Kerr Hall,Zeus,Not Locked,No,80
10,April,theft bicycle,Thursday,Unknown,HSSB,Unknown,U-Lock,No,86
10,May,theft bicycle,Thursday,0800-1600,Carrillo Dining Commons,Huffy,Cable Lock,Yes,90
10,January,theft bicycle,Thursday,1600-2400,Santa Catalina,Huffy,U-Lock,Yes,90
10,April,theft bicycle,Thursday,0800-1600,RecCen,Unknown,U-Lock,No,92
10,April,theft bicycle,Thursday,1600-2400,Campbell,M-1,Cable Lock,Yes,95
10,June,theft bicycle,Thursday,1600-2400,Embarcadero Hall,Schwinn,Not listed,No,100
10,May,theft bicycle,Thursday,0800-1600,Davidson Library,Schwinn,Cable Lock,Yes,120
10,May,theft bicycle,Thursday,2400-0800,"Jamala, Manzanita",Next,Chain Lock,Yes,123
10,July,theft bicycle,Thursday,0800-1600,Campbell Hall,Trek,Cable Lock,No,130
10,January,theft bicycle,Thursday,1600-2400,Davidson Library,Firmstrong,Not Locked,Yes,150
10,March,theft bicycle,Thursday,0800-1600,HSSB,Phat,U-Lock,Yes,190
10,December,theft bicycle,Thursday,Unknown,Santa Catalina,Giant,Cable Lock,Yes,200
10,December,theft bicycle,Thursday,1600-2400,Kerr,Urban,U-Lock,Yes,200
10,May,theft bicycle,Thursday,1600-2400,Phelps,Firmstrong,U-Lock,Yes,220
10,April,theft bicycle,Thursday,0800-1600,HSSB,Trek,Cable Lock,No,310
10,July,theft bicycle,Thursday,0800-1600,PSB South,Peugeot,Cable Lock,No,320
10,November,theft bicycle,Thursday,1600-2400,Davidson Library,Schwinn,Cable Lock,No,325
10,April,theft bicycle,Thursday,0800-1600,Chemistry,Kona ,Cable Lock,Yes,400
10,March,theft bicycle,Thursday,1600-2400,Davidson Library,Schwinn,Not Locked,No,500
10,June,theft bicycle,Thursday,1600-2400,Eng 1,Kline,Not Locked,No,1500
10,May,theft bicycle,Tuesday,1600-2400,Events Center,Schwinn,Not Locked,Yes,100
10,April,theft bicycle,Tuesday,0800-1600,Santa Cruz,Motobecane ,U-Lock,Yes,110
10,June,theft bicycle,Tuesday,1600-2400,Davidson Library,Nishiki,Chain Lock,No,120
10,October,theft bicycle,Tuesday,2400-0800,Santa Catalina,Cruiser King,Not Locked,Yes,140
10,January,theft bicycle,Tuesday,2400-0800,Tecolote House,Huffy,Cable Lock,No,170
10,October,theft bicycle,Tuesday,0800-1600,Theatre & Dance,Sun ,U-Lock,Yes,200
10,February,theft bicycle,Tuesday,1600-2400,Lot 10,Schwinn,U-Lock,No,220
10,October,theft bicycle,Tuesday,2400-0800,Library,Drift,U-Lock,No,285
10,March,theft bicycle,Tuesday,1600-2400,Library,Schwinn,Cable Lock,No,320
10,November,theft bicycle,Tuesday,2400-0800,Davidson Library,Raleigh,U-Lock,No,320
10,October,theft bicycle,Tuesday,0800-1600,Davidson Library,Unknown,U-Lock,No,350
10,May,theft bicycle,Tuesday,0800-1600,Campbell Hall,Motobecane,U-Lock,Yes,395
10,February,theft bicycle,Tuesday,0800-1600,SRB,Bianchi,U-Lock,No,670
10,February,theft bicycle,Tuesday,0800-1600,Recreation Center,Hybrid,Cable Lock,No,715
10,September,theft bicycle,Tuesday,0800-1600,Lot 6,Specialized,Not Locked,Yes,850
10,October,theft bicycle,Unknown,Unknown,Student Resource Building,Unknown,Not listed,No,40
10,September,theft bicycle,Unknown,Unknown,Arrowhead Village,Mountain View,U-Lock,No,50
10,May,theft bicycle,Unknown,Unknown,Storke Family Housing,Unknown,U-Lock,No,50
10,December,theft bicycle,Unknown,Unknown,San Rafael,Vital,Not Locked,Yes,50
10,December,theft bicycle,Unknown,Unknown,Santa Catalina,Unknown,Cable Lock,No,60
10,June,theft bicycle,Unknown,Unknown,Arrowhead Village,Classic,Not listed,No,60
10,November,theft bicycle,Unknown,Unknown,"Gayley Walk, West Campus Family Housing",Diamond,Not Locked,No,60
10,October,theft bicycle,Unknown,Unknown,San Rafael,Huffy,U-Lock,Yes,60
10,February,theft bicycle,Unknown,Unknown,Santa Catalina,Murray,U-Lock,Yes,62
10,February,theft bicycle,Unknown,Unknown,Bus Loop,Magna,Cable Lock,Yes,70
10,November,theft bicycle,Unknown,Unknown,Anacapa,Huffy,U-Lock,Yes,70
10,September,theft bicycle,Unknown,Unknown,Santa Rosa,Pacific,U-Lock,Yes,75
10,September,theft bicycle,Unknown,Unknown,Broida,Next,Cable Lock,Yes,80
10,April,theft bicycle,Unknown,Unknown,Bus Loop,Huffy,Cable Lock,Yes,90
10,February,theft bicycle,Unknown,Unknown,Parking Lot 2,American Flyer,Not Locked,Yes,90
10,October,theft bicycle,Unknown,Unknown,Santa Catalina,Huffy,U-Lock,Yes,90
10,April,theft bicycle,Unknown,Unknown,South Hall,Urban ,U-Lock,Yes,90
10,July,theft bicycle,Unknown,Unknown,Davidson Library,Trek,Cable Lock,No,95
10,May,theft bicycle,Unknown,Unknown,San Rafael,Firmstrong,Cable Lock,Yes,95
10,August,theft bicycle,Unknown,Unknown,Davidson Library,Roadmaster,Cable Lock,Yes,95
10,March,theft bicycle,Unknown,Unknown,Arrowhead Vilage,Centurian,Cable Lock,No,100
10,December,theft bicycle,Unknown,Unknown,Santa Catalina,Diamondback,Not listed,No,100
10,October,theft bicycle,Unknown,Unknown,Storke Family Housing,Centurion,Not Locked,No,100
10,October,theft bicycle,Unknown,Unknown,Santa Catalina,Electra,Cable Lock,Yes,100
10,February,theft bicycle,Unknown,Unknown,Santa Catalina,Firmstrong,Not listed,Yes,100
10,March,theft bicycle,Unknown,Unknown,Santa Catalina,Hyper,Padlock,Yes,100
10,December,theft bicycle,Unknown,Unknown,San Miguel,Huffy,U-Lock,Yes,100
10,April,theft bicycle,Unknown,Unknown,Santa Catalina,Huffy,U-Lock,Yes,100
10,October,theft bicycle,Unknown,Unknown,Anacapa,Se,U-Lock,Yes,100
10,May,theft bicycle,Unknown,Unknown,SRB,Unknown,U-Lock,No,105
10,January,theft bicycle,Unknown,Unknown,Westgate Apts.,Huffy,Cable Lock,No,110
10,October,theft bicycle,Unknown,Unknown,"La Cumbre, La Patera",DeLaCruz,Cable Lock,Yes,110
10,February,theft bicycle,Unknown,Unknown,Library,Micargi,Cable Lock,Yes,110
10,May,theft bicycle,Unknown,Unknown,Santa Catalina,Schwinn,Cable Lock,Yes,110
10,June,theft bicycle,Unknown,Unknown,San Rafael,Micargi,U-Lock,Yes,110
10,July,theft bicycle,Unknown,Unknown,Santa Cruz,Unknown,Not Locked,Yes,112
10,January,theft bicycle,Unknown,Unknown,Santa Catalina,Huffy,U-Lock,Yes,112
10,February,theft bicycle,Unknown,Unknown,Santa Rosa,Micargi,U-Lock,Yes,112
10,February,theft bicycle,Unknown,Unknown,Santa Catalina,Free Agent,U-Lock,Yes,115
10,March,theft bicycle,Unknown,Unknown,"Madulce, Los Robles Quad",Micargi,U-Lock,Yes,115
10,April,theft bicycle,Unknown,Unknown,Santa Catalina,GT,Cable Lock,No,120
10,June,theft bicycle,Unknown,Unknown,Carrillo,Trek,Cable Lock,No,120
10,February,theft bicycle,Unknown,Unknown,SRB,Next,Cable Lock,Yes,120
10,October,theft bicycle,Unknown,Unknown,Santa Ynez Apt.,Road Master,Cable Lock,Yes,120
10,May,theft bicycle,Unknown,Unknown,Santa Cruz racks,Huffy,Chain Lock,Yes,120
10,November,theft bicycle,Unknown,Unknown,San Nicolas,Huffy,U-Lock,Yes,120
10,May,theft bicycle,Unknown,Unknown,Santa Rosa racks,Pacific,U-Lock,Yes,120
10,February,theft bicycle,Unknown,Unknown,Santa Cruz,Next,Cable Lock,Yes,125
10,September,theft bicycle,Unknown,Unknown,Santa Rosa,Phat,Cable Lock,Yes,125
10,May,theft bicycle,Unknown,Unknown,UCEN,Magna,U-Lock,Yes,125
10,April,theft bicycle,Unknown,Unknown,San Nicolas,Next,U-Lock,Yes,125
10,January,theft bicycle,Unknown,Unknown,Bren School,Unknown,U-Lock,Yes,125
10,June,theft bicycle,Unknown,Unknown,Anacapa,Trek,U-Lock,Yes,130
10,November,theft bicycle,Unknown,Unknown,SAASB North,Univega,Cable Lock,Yes,135
10,October,theft bicycle,Unknown,Unknown,Anacapa,Huffy,U-Lock,Yes,135
10,March,theft bicycle,Unknown,Unknown,Zaca House,Unknown,U-Lock,No,140
10,September,theft bicycle,Unknown,Unknown,Theatre & Dance,Micargi,U-Lock,Yes,140
10,February,theft bicycle,Unknown,Unknown,Anacapa,Micargi,Cable Lock,Yes,145
10,April,theft bicycle,Unknown,Unknown,Santa Catalina,Firmstrong,Chain Lock,Yes,145
10,May,theft bicycle,Unknown,Unknown,Santa Rosa,Iron Horse,Not listed,No,150
10,August,theft bicycle,Unknown,Unknown,Bolton Walk,Huffy,Not Locked,No,150
10,November,theft bicycle,Unknown,Unknown,East Gate,Huffy,Cable Lock,Yes,150
10,February,theft bicycle,Unknown,Unknown,Library,Micargi,Cable Lock,Yes,150
10,November,theft bicycle,Unknown,Unknown,Santa Ynez Apt.,Draft,U-Lock,Yes,150
10,June,theft bicycle,Unknown,Unknown,San Miguel,Nishiki,U-Lock,Yes,150
10,January,theft bicycle,Unknown,Unknown,DeLaGuerra,Schwinn,U-Lock,Yes,150
10,August,theft bicycle,Unknown,Unknown,UCEN,Schwinn,U-Lock,Yes,150
10,May,theft bicycle,Unknown,Unknown,Santa Catalina,Firmstrong,Cable Lock,No,160
10,November,theft bicycle,Unknown,Unknown,"Camuesa, Los Robles Quad",Gary Fisher,Cable Lock,Yes,160
10,April,theft bicycle,Unknown,Unknown,Santa Catalina,Firmstrong,Cable Lock,Yes,165
10,February,theft bicycle,Unknown,Unknown,"Camuesa, Los Robles Quad",Micargi,Cable Lock,Yes,165
10,October,theft bicycle,Unknown,Unknown,North Hall,Shimano,U-Lock,Yes,165
10,November,theft bicycle,Unknown,Unknown,Santa Catalina,Firmstrong,Not Locked,Yes,170
10,September,theft bicycle,Unknown,Unknown,Santa Ynez  Apt.,Micargi,U-Lock,Yes,170
10,May,theft bicycle,Unknown,Unknown,San Nic,Peugeot,U-Lock,Yes,170
10,January,theft bicycle,Unknown,Unknown,Anacapa Hall,Firmstrong,U-Lock,Yes,171
10,July,theft bicycle,Unknown,Unknown,Santa Catalina,Roadmaster,Cable Lock,Yes,175
10,August,theft bicycle,Unknown,Unknown,San Nicolas,Mongoose,Cable Lock,Yes,180
10,May,theft bicycle,Unknown,Unknown,Lot 52,Urban,Cable Lock,Yes,180
10,February,theft bicycle,Unknown,Unknown,Santa Ynez,Schwinn,Not Locked,Yes,180
10,January,theft bicycle,Unknown,Unknown,Cuyama House,Micargi,U-Lock,Yes,180
10,June,theft bicycle,Unknown,Unknown,San Miguel,Firmstrong,U-Lock,No,190
10,April,theft bicycle,Unknown,Unknown,Santa Catalina,Schwinn,U-Lock,Yes,190
10,October,theft bicycle,Unknown,Unknown,Chemistry,Schwinn,Cable Lock,No,200
10,May,theft bicycle,Unknown,Unknown,Events Center,3G,U-Lock,No,200
10,June,theft bicycle,Unknown,Unknown,El Dorado,Giant,U-Lock,No,200
10,September,theft bicycle,Unknown,Unknown,San Rafael,Raleigh,U-Lock,No,200
10,May,theft bicycle,Unknown,Unknown,Santa Catalina,Firmstrong,Cable Lock,Yes,200
10,October,theft bicycle,Unknown,Unknown,Santa Catalina,Firmstrong,Cable Lock,Yes,200
10,February,theft bicycle,Unknown,Unknown,"Tecolote, Las Encinas Quad",Diamondback,Chain Lock,Yes,200
10,May,theft bicycle,Unknown,Unknown,Santa Catalina,Diamondback,Not listed,Yes,200
10,June,theft bicycle,Unknown,Unknown,San Rafael,Raleigh,Not listed,Yes,200
10,June,theft bicycle,Unknown,Unknown,Santa Ynez,SE,Not listed,Yes,200
10,November,theft bicycle,Unknown,Unknown,San Rafael,Unknown,Not listed,Yes,200
10,February,theft bicycle,Unknown,Unknown,Santa Cruz,Electra,Not Locked,Yes,200
10,January,theft bicycle,Unknown,Unknown,San Miguel,Huffy,Not Locked,Yes,200
10,February,theft bicycle,Unknown,Unknown,San Rafael,Schwinn,Not Locked,Yes,200
10,November,theft bicycle,Unknown,Unknown,Santa Catalina,Giant,U-Lock,Yes,200
10,June,theft bicycle,Unknown,Unknown,Santa Catalina,Micargi,U-Lock,Yes,200
10,March,theft bicycle,Unknown,Unknown,Santa Catalina,Phat,U-Lock,Yes,200
10,February,theft bicycle,Unknown,Unknown,San Nicolas,3G,U-Lock,Yes,205
10,September,theft bicycle,Unknown,Unknown,San Nicolas,Flyer,U-Lock,Yes,205
10,April,theft bicycle,Unknown,Unknown,San Miguel,Schwinn,U-Lock,No,208
10,February,theft bicycle,Unknown,Unknown,HSSB,Firmstrong,U-Lock,No,210
10,June,theft bicycle,Unknown,Unknown,"Miranda, Las Encinas",Schwinn,U-Lock,Yes,210
10,March,theft bicycle,Unknown,Unknown,Anacapa,Schwinn,Cable Lock,No,215
10,March,theft bicycle,Unknown,Unknown,San Clemente,Trek,U-Lock,No,215
10,February,theft bicycle,Unknown,Unknown,SRB,Urban,U-Lock,No,215
10,June,theft bicycle,Unknown,Unknown,Bus Loop,Sun,Cable Lock,Yes,215
10,September,theft bicycle,Unknown,Unknown,San Rafael,Motobecane,Cable Lock,No,220
10,June,theft bicycle,Unknown,Unknown,Santa Ynez Apts.,Schwinn,U-Lock,No,220
10,May,theft bicycle,Unknown,Unknown,Santa Catalina,Mongoose,Cable Lock,Yes,220
10,November,theft bicycle,Unknown,Unknown,North Hall,Firmstrong,U-Lock,Yes,220
10,November,theft bicycle,Unknown,Unknown,San Nicolas,Firmstrong,U-Lock,Yes,220
10,January,theft bicycle,Unknown,Unknown,Santa Catalina,Schwinn,U-Lock,Yes,220
10,September,theft bicycle,Unknown,Unknown,San Miguel,Schwinn,U-Lock,No,225
10,March,theft bicycle,Unknown,Unknown,Santa Rosa,Gary Fisher,U-Lock,Yes,225
10,January,theft bicycle,Unknown,Unknown,San Rafael Hall,Urban,U-Lock,No,230
10,April,theft bicycle,Unknown,Unknown,Santa Rosa,Draft,U-Lock,No,260
10,June,theft bicycle,Unknown,Unknown,Santa Catalina,Fuji,U-Lock,Yes,260
10,March,theft bicycle,Unknown,Unknown,Davidson Library,Trek,U-Lock,No,270
10,July,theft bicycle,Unknown,Unknown,Santa Catalina,Unknown,U-Lock,No,270
10,October,theft bicycle,Unknown,Unknown,San Rafael,Firmstrong,Cable Lock,Yes,270
10,May,theft bicycle,Unknown,Unknown,Santa Rosa,Firmstrong,U-Lock,Yes,270
10,April,theft bicycle,Unknown,Unknown,West Campus Housing,Giant,U-Lock,No,280
10,September,theft bicycle,Unknown,Unknown,DeLaGuerra Commons,Firmstrong,U-Lock,Yes,285
10,October,theft bicycle,Unknown,Unknown,Santa Rosa,Micargi,U-Lock,Yes,285
10,September,theft bicycle,Unknown,Unknown,Santa Rosa,Specialized,Cable Lock,Yes,300
10,April,theft bicycle,Unknown,Unknown,Lot 38,Schwinn,U-Lock,Yes,300
10,April,theft bicycle,Unknown,Unknown,Santa Catalina,SE ,U-Lock,Yes,300
10,June,theft bicycle,Unknown,Unknown,Santa Rosa,Unknown,Cable Lock,No,310
10,March,theft bicycle,Unknown,Unknown,San Clemente,Diamondback,U-Lock,No,315
10,November,theft bicycle,Unknown,Unknown,"Pendola, Los Robles Quad",Fuji,Cable Lock,Yes,315
10,February,theft bicycle,Unknown,Unknown,"Zaca House, Manzanita",Greenline,Cable Lock,Yes,315
10,February,theft bicycle,Unknown,Unknown,San Miguel,GT,U-Lock,Yes,315
10,June,theft bicycle,Unknown,Unknown,Santa Ynez,Fixie,U-Lock,No,320
10,January,theft bicycle,Unknown,Unknown,HSSB,Giant,Cable Lock,Yes,320
10,October,theft bicycle,Unknown,Unknown,Santa Catalina,Laguna,Cable Lock,Yes,325
10,October,theft bicycle,Unknown,Unknown,Ortega Commons,phat,U-Lock,Yes,330
10,November,theft bicycle,Unknown,Unknown,Davidson Library,GT ,U-Lock,Yes,340
10,February,theft bicycle,Unknown,Unknown,Santa Catalina,Specialized,U-Lock,Yes,420
10,February,theft bicycle,Unknown,Unknown,Arts,Centurian,Cable Lock,No,425
10,March,theft bicycle,Unknown,Unknown,Santa Catalina,Electra,U-Lock,Yes,430
10,April,theft bicycle,Unknown,Unknown,Santa Rosa,Electra,U-Lock,Yes,440
10,September,theft bicycle,Unknown,Unknown,Laurel Walk,Cannondale,Cable Lock,No,450
10,May,theft bicycle,Unknown,Unknown,Santa Catalina,Giant,U-Lock,Yes,450
10,October,theft bicycle,Unknown,Unknown,"Figueroa, Los Robles Quad",Trek,Cable Lock,Yes,485
10,May,theft bicycle,Unknown,Unknown,"Madulce, Los Robles",Trek,Cable Lock,No,505
10,November,theft bicycle,Unknown,Unknown,Santa Ynez,Trek,Cable Lock,No,560
10,October,theft bicycle,Unknown,Unknown,Santa Rosa,Peugeot,U-Lock,Yes,560
10,May,theft bicycle,Unknown,Unknown,UCPD Impound Yard,Specialized,Not Locked,No,600
10,September,theft bicycle,Unknown,Unknown,Cypress Walk,Cannondale,Cable Lock,Yes,800
10,February,theft bicycle,Unknown,Unknown,Santa Catalina,Trek,Cable Lock,Yes,825
10,July,theft bicycle,Unknown,Unknown,Santa Cruz,Specialized,U-Lock,No,925
10,June,theft bicycle,Unknown,Unknown,"San Clemente, Encino",Giant,Cable Lock,No,1000
10,March,theft bicycle,Unknown,Unknown,Storke Tower,Parkpre Tange,U-Lock,No,1006
10,November,theft bicycle,Unknown,Unknown,Santa Rosa,Schwinn,U-Lock,Yes,1008
10,March,theft bicycle,Unknown,Unknown,Rec Cen,Cannondale,U-Lock,No,1020
10,August,theft bicycle,Unknown,Unknown,Santa Ynez,Kona,U-Lock,No,1025
10,April,theft bicycle,Wednesday,0800-1600,Lot 32,Specialized,Not Locked,No,60
10,September,theft bicycle,Wednesday,0800-1600,"Madronna Walk, Storke Family Housing",Unknown,Cable Lock,No,95
10,March,theft bicycle,Wednesday,1600-2400,Music,3G,U-Lock,Yes,110
10,May,theft bicycle,Wednesday,0800-1600,Kerr Hall,Specialized,U-Lock,No,130
10,January,theft bicycle,Wednesday,1600-2400,Santa Catalina,Micargi,U-Lock,Yes,145
10,January,theft bicycle,Wednesday,0800-1600,Santa Cruz Hall,3G,Cable Lock,No,160
10,May,theft bicycle,Wednesday,1600-2400,"Figueroa, Los Roblos Quad",Nirve,U-Lock,Yes,165
10,July,theft bicycle,Wednesday,0800-1600,Campbell Hall,GMC,Cable Lock,No,170
10,April,theft bicycle,Wednesday,2400-0800,"Cienega, Las Encinas",Firmstrong,U-Lock,No,170
10,January,theft bicycle,Wednesday,0800-1600,Davidson Library,Ocean Pacific,Cable Lock,Yes,170
10,May,theft bicycle,Wednesday,0800-1600,Student Health,Unknown,Not listed,Yes,200
10,October,theft bicycle,Wednesday,1600-2400,Girvetz,Micard,U-Lock,Yes,212
10,July,theft bicycle,Wednesday,0800-1600,UCEN,Unknown,Cable Lock,Yes,218
10,February,theft bicycle,Wednesday,1600-2400,"Condor, La Patera",3D,U-Lock,Yes,290
10,November,theft bicycle,Wednesday,0800-1600,San Clemente,Nishiki,Cable Lock,No,320
10,October,theft bicycle,Wednesday,0800-1600,Robertson Gym,Townie,Cable Lock,Yes,350
10,March,theft bicycle,Wednesday,1600-2400,Library,Specialized,U-Lock,No,980
10,April,theft bicycle,Wednesday,0800-1600,Theatre & Dance,IRO,U-Lock,No,1220
10,April,theft bicycle,Wednesday,0800-1600,Webb Hall,Specialized,Not Locked,No,4000
11,June,theft bicycle,Friday,0800-1600,PSB  North,Kobe,U-Lock,No,11
11,September,theft bicycle,Friday,1600-2400,RecCen,Mongoose,Not Locked,Yes,150
11,November,theft bicycle,Friday,0800-1600,San Nicolas racks,Trek,Not Locked,Yes,150
11,March,theft bicycle,Friday,0800-1600,Broida,Schwinn,U-Lock,Yes,170
11,October,theft bicycle,Friday,1600-2400,Music,Micargi,Not listed,No,200
11,September,theft bicycle,Friday,0800-1600,RecCen,Schwinn,U-Lock,No,200
11,June,theft bicycle,Friday,2400-0800,Arts,Schwinn,U-Lock,Yes,220
11,January,theft bicycle,Friday,2400-0800,Manzanita Village,Firmstrong,U-Lock,Yes,225
11,June,theft bicycle,Friday,Unknown,Music,Schwinn,U-Lock,No,250
11,April,theft bicycle,Friday,1600-2400,Campbell Hall,Greenline,Combo,Yes,250
11,July,theft bicycle,Friday,0800-1600,HSSB,PAKE,Combo,No,300
11,May,theft bicycle,Friday,0800-1600,Life Sciences Bldg.,Unknown,Cable Lock,No,320
11,June,theft bicycle,Friday,1600-2400,Davidson Library,Raleigh,U-Lock,No,320
11,May,theft bicycle,Friday,0800-1600,SAASB,Specialized,Cable Lock,No,340
11,April,theft bicycle,Friday,2400-0800,Davidson Library,Fuji,Not Locked,Yes,400
11,November,theft bicycle,Friday,Unknown,Santa Cruz bike racks,SE,U-Lock,Yes,400
11,February,theft bicycle,Friday,0800-1600,Intercollegiate Athletics,Tommaso,Cable Lock,No,425
11,October,theft bicycle,Friday,2400-0800,San Clemente,Giant,Cable Lock,Yes,435
11,April,theft bicycle,Friday,0800-1600,Kerr Hall,Firmstrong,Not Locked,Yes,479
11,August,theft bicycle,Friday,0800-1600,Student Resources Bldg.,Specialized,Combo,No,1220
11,March,theft bicycle,Monday,0800-1600,SRB,Upland,Chain Lock,Yes,70
11,January,theft bicycle,Monday,0800-1600,Santa Cruz,Huffy,Not Locked,Yes,75
11,July,theft bicycle,Monday,0800-1600,Anacapa,Micargi,Not Locked,Yes,100
11,June,theft bicycle,Monday,0800-1600,Kerr Hall,Unknown,U-Lock,Yes,120
11,September,theft bicycle,Monday,0800-1600,UCEN,Unknown,Cable Lock,Yes,140
11,October,theft bicycle,Monday,0800-1600,Campbell Hall,3G,U-Lock,No,160
11,October,theft bicycle,Monday,0800-1600,UCEN,Isla Vista,U-Lock,No,194
11,April,theft bicycle,Monday,2400-0800,HSSB,Blaster,U-Lock,Yes,200
11,October,theft bicycle,Monday,1600-2400,Kerr Hall,CREAM,U-Lock,No,242
11,May,theft bicycle,Monday,0800-1600,Chemistry,Cannondale,Cable Lock,Yes,270
